country_iso3,date,gprh_raw
CHN,1975-09-01,24
CHN,1975-10-01,25
CHN,1975-11-01,39
CHN,1975-12-01,39
CHN,1976-01-01,33
CHN,1976-02-01,24
CHN,1976-03-01,22
CHN,1976-04-01,31
CHN,1976-05-01,29
CHN,1976-06-01,27
CHN,1976-07-01,21
CHN,1976-08-01,31
CHN,1976-09-01,31
CHN,1976-10-01,44
CHN,1976-11-01,28
CHN,1976-12-01,26
CHN,1977-01-01,24
CHN,1977-02-01,23
CHN,1977-03-01,25
CHN,1977-04-01,31
CHN,1977-05-01,35
CHN,1977-06-01,22
CHN,1977-07-01,33
CHN,1977-08-01,42
CHN,1977-09-01,26
CHN,1977-10-01,14
CHN,1977-11-01,22
CHN,1977-12-01,24
CHN,1978-01-01,31
CHN,1978-02-01,23
CHN,1978-03-01,22
CHN,1978-04-01,21
CHN,1978-05-01,54
CHN,1978-06-01,76
CHN,1978-07-01,25
CHN,1978-08-01,20
CHN,1978-09-01,11
CHN,1978-10-01,15
CHN,1978-11-01,39
CHN,1978-12-01,75
CHN,1979-01-01,90
CHN,1979-02-01,133
CHN,1979-03-01,80
CHN,1979-04-01,45
CHN,1979-05-01,36
CHN,1979-06-01,46
CHN,1979-07-01,33
CHN,1979-08-01,35
CHN,1979-09-01,30
CHN,1979-10-01,42
CHN,1979-11-01,33
CHN,1979-12-01,39
CHN,1980-01-01,132
CHN,1980-02-01,45
CHN,1980-03-01,24
CHN,1980-04-01,25
CHN,1980-05-01,26
CHN,1980-06-01,41
CHN,1980-07-01,21
CHN,1980-08-01,36
CHN,1980-09-01,28
CHN,1980-10-01,53
CHN,1980-11-01,31
CHN,1980-12-01,26
CHN,1981-01-01,26
CHN,1981-02-01,27
CHN,1981-03-01,22
CHN,1981-04-01,38
CHN,1981-05-01,21
CHN,1981-06-01,50
CHN,1981-07-01,22
CHN,1981-08-01,13
CHN,1981-09-01,23
CHN,1981-10-01,22
CHN,1981-11-01,33
CHN,1981-12-01,17
CHN,1982-01-01,36
CHN,1982-02-01,19
CHN,1982-03-01,20
CHN,1982-04-01,26
CHN,1982-05-01,24
CHN,1982-06-01,19
CHN,1982-07-01,28
CHN,1982-08-01,21
CHN,1982-09-01,23
CHN,1982-10-01,24
CHN,1982-11-01,25
CHN,1982-12-01,22
CHN,1983-01-01,21
CHN,1983-02-01,19
CHN,1983-03-01,15
CHN,1983-04-01,35
CHN,1983-05-01,15
CHN,1983-06-01,15
CHN,1983-07-01,12
CHN,1983-08-01,18
CHN,1983-09-01,44
CHN,1983-10-01,23
CHN,1983-11-01,37
CHN,1983-12-01,16
CHN,1984-01-01,30
CHN,1984-02-01,19
CHN,1984-03-01,17
CHN,1984-04-01,38
CHN,1984-05-01,43
CHN,1984-06-01,29
CHN,1984-07-01,21
CHN,1984-08-01,11
CHN,1984-09-01,15
CHN,1984-10-01,21
CHN,1984-11-01,16
CHN,1984-12-01,20
CHN,1985-01-01,20
CHN,1985-02-01,20
CHN,1985-03-01,15
CHN,1985-04-01,23
CHN,1985-05-01,17
CHN,1985-06-01,12
CHN,1985-07-01,20
CHN,1985-08-01,18
CHN,1985-09-01,17
CHN,1985-10-01,19
CHN,1985-11-01,10
CHN,1985-12-01,26
CHN,1986-01-01,12
CHN,1986-02-01,11
CHN,1986-03-01,10
CHN,1986-04-01,17
CHN,1986-05-01,11
CHN,1986-06-01,10
CHN,1986-07-01,9
CHN,1986-08-01,17
CHN,1986-09-01,12
CHN,1986-10-01,27
CHN,1986-11-01,24
CHN,1986-12-01,15
CHN,1987-01-01,8
CHN,1987-02-01,9
CHN,1987-03-01,11
CHN,1987-04-01,16
CHN,1987-05-01,33
CHN,1987-06-01,38
CHN,1987-07-01,28
CHN,1987-08-01,24
CHN,1987-09-01,46
CHN,1987-10-01,28
CHN,1987-11-01,13
CHN,1987-12-01,24
CHN,1988-01-01,19
CHN,1988-02-01,14
CHN,1988-03-01,37
CHN,1988-04-01,38
CHN,1988-05-01,29
CHN,1988-06-01,14
CHN,1988-07-01,23
